,artist,album,units_sold,month,year
0,The Midnight Echoes,Neon Dreams,1200.0,May,2023
1,Electric Dreams,Synthwave Memories,850.0,March,2022
2,Soulful Strings,Harmony in Blue,1500.0,July,2023
3,Urban Beats,City Pulse,980.0,January,2021
4,Pop Vortex,Dancing in the Light,2450.0,September,2023
5,Rock Rebellion,Wildfire,670.0,November,2022
6,Jazz Legends,Midnight Serenade,1340.0,April,2023
7,Electronic Pulse,Digital Reverie,1900.0,June,2021
8,Country Roads,Golden Trails,780.0,February,2023
9,Hip-Hop Haven,Streetlights,2100.0,October,2022
10,Indie Flames,Echoes of Tomorrow,1450.0,December,2023
11,Funk Revival,Groove Machine,920.0,August,2021
12,Retro Vibes,Vintage Nights,1750.0,March,2023
13,Soulful Grooves,Warmth of the Soul,1100.0,May,2022
14,Alternative Echoes,Fading Light,2300.0,July,2023
15,Pop Symphony,Melody of the Stars,1850.0,January,2021
16,Rock Legends,Eternal Fire,690.0,April,2023
17,Electronic Dreams,Cyber Skyline,2500.0,June,2022
18,Country Hearts,Heartland Songs,810.0,September,2023
19,Hip-Hop Beats,Urban Echoes,2200.0,November,2021
20,Indie Legends,Timeless Melodies,1650.0,December,2023
21,Funk Fusion,Rhythm Revolution,930.0,February,2022
22,Jazz Fusion,Modern Grooves,1400.0,October,2023
23,Pop Rockers,Electric Hearts,2050.0,August,2021
24,Electronic Pulse,Neon Waves,1980.0,March,2023
25,The Midnight Echoes,Echoes of the Night,320.0,January,2023
26,Electric Dreams,Dreams Unbound,450.0,February,2023
27,Neon Pulse,Pulse of the Future,180.0,March,2023
28,Shadow Valley,Whispers in the Dark,275.0,April,2023
29,Crystal Waves,Oceanic Rhythms,190.0,May,2023
30,Solar Flare,Radiant Horizons,410.0,June,2023
31,Velvet Skies,Celestial Vibes,260.0,July,2023
32,Ghost Train,Midnight Express,340.0,August,2023
33,Starlight Reverie,Galactic Dreams,150.0,September,2023
34,Thunderbolt,Stormchaser,480.0,October,2023
35,Sapphire Strings,Melodic Spires,210.0,November,2023
36,Midnight Rhythms,Nocturnal Beats,370.0,December,2023
37,Echoes of Time,Temporal Tides,145.0,January,2023
38,Urban Beats,City Pulse,290.0,February,2023
39,Harmony Lane,Melody Lane,310.0,March,2023
40,Rock Republic,Power Chords,420.0,April,2023
41,Blue Horizon,Horizon Lines,195.0,May,2023
42,Electric Phoenix,Rebirth Frequencies,380.0,June,2023
43,Deep Sea Tunes,Marine Melodies,245.0,July,2023
44,Cosmic Vibes,Stellar Sounds,170.0,August,2023
45,Sapphire Skyline,Skyward Tunes,285.0,September,2023
46,Midnight Groove,Nightfall Beats,350.0,October,2023
47,Echo Valley,Mountain Echoes,160.0,November,2023
48,Neon Shadows,Dark Pulse,400.0,December,2023
49,Starlight Dreams,Galactic Reverie,185.0,January,2023
50,The Midnight Echoes,Echoes in the Dark,200.0,May,2023
51,Electric Pulse,Neon Dreams,350.0,April,2022
52,Soul Reverie,Urban Legends,180.0,June,2023
53,Jazz Horizon,City Lights,420.0,March,2021
54,Urban Beat,Rhythm & Soul,280.0,July,2023
55,Rock Fusion,Fire and Ice,310.0,February,2022
